######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-18 00:47:16   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:16   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 adding transaction: c1 - 1 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 adding transaction: c2 - 1 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 received Proper Vote Msg from the validator: v6 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 received Proper Vote Msg from the validator: v5 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 received Proper Vote Msg from the validator: v7 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-18 00:47:18   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:47:20   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:20   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 00:47:20   		 [ Validator: v4 adding transaction: c2 - 0 ]
[INFO]: 2021-10-18 00:47:20   		 [ Validator: v4 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 00:47:20   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:20   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v5 ]
[INFO]: 2021-10-18 00:47:20   		 [ Validator: v4 adding commit for transaction: ['c2 - 0', 'c1 - 1'] ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4 adding transaction: c2 - 1 ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v6 ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4 adding commit for transaction: ['c2 - 1'] ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 00:47:21   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:22   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:22   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 00:47:22   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:22   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 00:47:23   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:23   		 [ Validator: v4 Client c2 Authentication Successful ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-18 00:47:23   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:23   		 [ Validator: v4 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 00:47:23   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:23   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 adding transaction: c1 - 1 ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-18 00:47:25   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:47:27   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:27   		 [ Validator: v4 adding transaction: c1 - 2 ]
[INFO]: 2021-10-18 00:47:27   		 [ Validator: v4 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 00:47:27   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:27   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-18 00:47:27   		 [ Validator: v4 adding commit for transaction: ['c1 - 1'] ]
[INFO]: 2021-10-18 00:47:29   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:29   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-18 00:47:30   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:30   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-18 00:47:30   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:30   		 [ Validator: v4 adding transaction: c1 - 2 ]
[INFO]: 2021-10-18 00:47:30   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:47:30   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 00:47:30   		 [ Validator: v4 adding commit for transaction: ['c1 - 2'] ]
[INFO]: 2021-10-18 00:47:31   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:31   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-18 00:47:31   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:31   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-18 00:47:32   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:32   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-18 00:47:32   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:32   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-18 00:47:33   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:33   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-18 00:47:33   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:47:33   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
